customer_id,churn_probability,risk_level,segment_name,key_risk_factors,recommendation_category,recommendation,priority,reason,hypothetical_intervention_impact
CUST-04801,0.9732,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (97.3%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-01977,0.9732,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (97.3%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-06233,0.9729,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (97.3%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-00006,0.9703,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (97.0%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-02578,0.9702,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (97.0%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-01149,0.9694,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.9%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-03210,0.9693,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.9%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-02209,0.9687,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.9%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-06369,0.9684,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.8%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
CUST-03353,0.9678,High Risk,High-Spend At-Risk Onboarders,Flexible Month-to-Month Contract; Short Tenure (<= 12 months); No Tech Support Service,Contract Review,Offer contract migration incentives (e.g. 10% monthly discount or bonus streaming features for upgrading to a 1-Year or 2-Year contract).,High,High predicted risk (96.8%) driven by short-term contract commitment and lack of support add-ons. Belongs to 'High-Spend At-Risk Onboarders' segment (46.4% segment churn rate).,Scenario analysis estimates upgrading to a 1-Year contract reduces estimated churn risk by ~27 percentage points.
